"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1995,1996,1997,1998,1999,1999Q1,1999Q2,1999Q3,1999Q4,2000,2000Q1,2000Q2,2000Q3,2000Q4,2001,2001Q1,2001Q2,2001Q3,2001Q4,2002,2002Q1,2002Q2,2002Q3,2002Q4,2003,2003Q1,2003Q2,2003Q3,2003Q4,2004,2004Q1,2004Q2,2004Q3,2004Q4,2005,2005Q1,2005Q2,2005Q3,2005Q4,2006,2006Q1,2006Q2,2006Q3,2006Q4,2007,2007Q1,2007Q2,2007Q3,2007Q4,2008,2008Q1,2008Q2,2008Q3,2008Q4,2009,2009Q1,2009Q2,2009Q3,2009Q4,2010,2010Q1,2010Q2,2010Q3,2010Q4,2011,2011Q1,2011Q2,2011Q3,2011Q4,2012,2012Q1,2012Q2,2012Q3,2012Q4,2013,2013Q1,2013Q2,2013Q3,2013Q4,2014,2014Q1,2014Q2,2014Q3,2014Q4,2015,2015Q1,2015Q2,2015Q3,2015Q4,2016,2016Q1,2016Q2,2016Q3,2016Q4,2017,2017Q1,2017Q2,2017Q3,2017Q4,2018,2018Q1,2018Q2,2018Q3,2018Q4,2019,2019Q1,2019Q2,2019Q3,2019Q4,2020,2020Q1,2020Q2,2020Q3,2020Q4,2021,2021Q1,2021Q2,2021Q3,2021Q4,2022,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value","452404578503.567","543863038121.613","599553844172.979","614125531683.941","653167538011.794",,,,,"711058164272.143",,,,,"793311574640.67",,,,,"952579303644.876",,,,,"1242185388717.36",,,,,"1659592309449.78",,,,,"2221385894698.62",,,,,"2971058709310.93",,,,,"4234031075395.72",,,,,"4816388900189.8",,,,,"5340131919639.93",,,,,"6120586029756.91",,,,,"6742152711253.34",,,,,"7210793549146.37",,,,,"7835745997556.5",,,,,"7711511301972.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value",,,,,,"605926384779.687","621419993753.78","636233043952.992","653167538011.794",,"669497378664.151","667597645234.695","679229590372.588","711058164272.143",,"724036857925.842","738308458134.743","774842505319.386","793311574640.67",,"813880855292.554","864039419612.418","889365249017.549","952579303644.876",,"1021987885221.19","1099142891569.69","1172391389126.48","1242185388717.36",,"1323749547689.58","1377892723596.72","1453032471950.2","1659592309449.78",,"1842090923483.89","1949270763937.51","2079151144817.69","2221385894698.62",,"2403308903770.81","2587949429556.22","2747018412118.1","2971058709310.93",,"3267337447837.21","3600362260126.55","3882563544483.54","4234031075395.72",,"4655188778950.24","4904818426377.83","5012561650348.69","4816388900189.8",,"4672722626889.62","4918925904890.29","5122957240924.18","5340131919639.93",,"5417328220656.18","5445601231716.56","5839092190364.93","6120586029756.91",,"6487845839795.31","6799139345975.56","6780681789141.72","6742152711253.34",,"6957257918070.1","6946531113639.5","7091008879476.08","7210793549146.37",,"7383759525381.2","7426118081777.07","7641042240731.81","7835745997556.5",,"7944415899646.43","8046609595553.16","7894926868368.73","7711511301972.05",,"7484202596205.86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World","001","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value","1389816593261.46","1566272416475.79","1616244226734.89","1643823750931.15","1782706106014.75",,,,,"1936944263871.77",,,,,"2050519364640.63",,,,,"2408946867334.43",,,,,"3026256227638.77",,,,,"3749759597541.75",,,,,"4321317146426.38",,,,,"5254217175035.82",,,,,"6706252364301.57",,,,,"7347778089128.15",,,,,"8164177710636.26",,,,,"9263377303805.34",,,,,"10202392791140.5",,,,,"10948406344546.4",,,,,"11694889246254.5",,,,,"11602630997658.8",,,,,"10928181793804.3",,,,,"10720510902040.2",,,,,"11452317582312.4",,,,,"11432600170048.2",,,,,"11822311604175.6",,,,,"12700468181595.3",,,,,"12918532110326.8",,,,,"11914285522880.9",,,,,,
"World","001","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","Value",,,,,,"1605915821770.76","1646732642027.35","1714089237837.56","1782706106014.75",,"1809493040190.66","1853651956689.54","1873110114220.27","1936944263871.77",,"1932475376442.31","1934875419791.02","2028582033339.64","2050519364640.63",,"2082486655657.32","2237839867740.95","2308287575377.94","2408946867334.43",,"2502611278330.66","2669812798155.83","2833134779550.42","3026256227638.77",,"3297181975341.77","3341904305138.55","3441417303111.21","3749759597541.75",,"3935378330473.66","4038487441697.09","4162203787476.66","4321317146426.38",,"4525057726565.85","4762446036973.05","4953942411539.85","5254217175035.82",,"5591358083799.01","5958583904200.07","6300669848519.63","6706252364301.57",,"7245072979052.31","7460489866436.59","7499843892525.2","7347778089128.15",,"7163771004927.74","7565345886904.89","7879628343361.4","8164177710636.26",,"8290079466222.42","8419491412618.33","8988928754780.48","9263377303805.34",,"9704016898330.66","10088031614296.7","10167668248964.4","10202392791140.5",,"10440082819710.3","10532217985506.7","10785883558731","10948406344546.4",,"11100762169010.4","11141273805617.5","11452355295068.5","11694889246254.5",,"11859889137939.1","12007154458436.3","11777011341469.4","11602630997658.8",,"11445105473593.1","11469244347562.1","11192497879289.7","10928181793804.3",,"10931146598643.6","10974021341162.6","11000591837263.8","10720510902040.2",,"10907538897543.1","11127910018710.6","11302731891765.9","11452317582312.4",,"11612870488164.9","11475856353661.5","11405518344702.7","11432600170048.2",,"11607620381334.7","11735852518860.4","11654623423443.4","11822311604175.6",,"11701087048039.1","12012356969533.9","12247346167506.2","12700468181595.3",,"12575887723760.2","12804623161528.7","12824286505181.6","12918532110326.8",,"12506851765538","11981571879816.9","11534011828806.6","11914285522880.9","12039600355190.7",
"Advanced Economies","110","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39719279216.1433",,,,,"54583372450.1861",,,,,"54531607830.7362",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39719279216.1433",,"48736681016.0325","52189247116.4895","54557638303.4719","54583372450.1861",,"59136182382.8199","61268113269.6514","57537418378.2288","54531607830.7362",,"53873210266.0157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28289508478.2831",,,,,"53133814167.5533",,,,,"56185016018.4485",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28289508478.2831",,"34070922604.8716","51521753656.8281","54978303059.5169","53133814167.5533",,"54684934052.7298","58909588605.1702","59202166108.5899","56185016018.4485",,"54495903268.4962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Value",,,,,"183374834576.837",,,,,"204385337107.529",,,,,"214032723957.326",,,,,"300140045831.431",,,,,"362977330632.004",,,,,"421876155525.386",,,,,"391747584693.215",,,,,"447548533660.397",,,,,"532681129094.324",,,,,"521759275791.852",,,,,"627647759871.632",,,,,"658171106537.274",,,,,"684345914674.694",,,,,"807757954520.634",,,,,"848884599405.644",,,,,"782052790361.155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Economies","110","Allocated Reserves, Claims in euro, US Dollars","RAXGFXAREURO_USD","Value",,,,,,"168778054348","168761215000","183059955000","183374834576.837",,"175964454248.853","183895185474.446","182144953658.496","204385337107.529",,"190698020858.339","188585193809.444","213442949405.562","214032723957.326",,"224501836451.373","265328028428.796","278020411138.565","300140045831.431",,"310978409520.545","336137511900.201","335782825825.92","362977330632.004",,"364706536971.727","359186770392.035","373493706849.326","421876155525.386",,"416862291830.467","395250432029.836","391580472701.367","391747584693.215",,"402741451597.689","418215242964.394","417876029721.714","447548533660.397",,"458926882954.009","472843436546.225","505707877490.242","532681129094.324",,"579323125508.505","560885229490.378","507839435915.683","521759275791.852",,"490244218150.776","576308551181.608","619280888982.59","627647759871.632",,"635821357938.716","642105232339.088","682396749606.831","658171106537.274",,"702328356288.472","719102065751.083","704812746749.776","684345914674.694",,"705086723602.765","774665431326.33","785294148528.122","807757954520.634",,"779184497013.524","791850413452.186","828831725143.565","848884599405.644",,"854743671079.2","856919134910.103","784187605492.748","782052790361.155",,"761555832696.237",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
