"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Category","Main",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Dataset","Currency Composition of Official Foreign Exchange Reserves (COFER)",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Definition","The Currency Composition ofOfficial Foreign Exchange Reserves(COFER) database is managed by the Statistics Department of the International Monetary Fund (IMF). The COFER website disseminates end-of-period quarterly data on COFER in the format of statistical aggregates. The currencies identified in COFER are: U.S. dollar, Pound sterling, Japanese yen, Swiss francs, Canadian dollar, Australian dollar, and Euro.All other currencies are indistinguishably included in the category of “other currencies.”Prior to the introduction of Euro in 1999,several European currencieswere separately identified in COFER. COFER data are reported to the IMF on a voluntary and confidential basis. COFER data for individual countries are strictly confidential. The data published on this website are aggregates for each currency for three groupings of countries (total,advanced economies, andemerging and developing economies).",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Frequency","Annual,Quarterly",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Geographic Coverage","COFER data for individual countries are strictly confidential. At present there are 144 reporters, consisting of member countries of the IMF, non-member countries/economies, and other foreign exchanges reserve holding entities.",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","In the News - URLs","<p><a href=""http://www.imf.org/external/np/sec/pr/2016/pr1690.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">Press Release: Chinese Renminbi to be Identified in the IMF’s Currency Composition of Foreign Exchange Reserves, No. 16/90, March 4, 2016</font></a></p><p><a href=""http://www.imf.org/external/np/sec/pr/2013/pr13236.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">IMF Releases Data on the Currency Composition of Foreign Exchange Reserves with Additional Data on Australian and Canadian Dollar Reserves,  No. 13/236, June 28, 2013</font></a></p> <p><a href=""http://www.imf.org/external/np/sec/pr/2013/pr13211.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">IMF to Release Currency Composition of Foreign Exchange Reserves with Expanded Currency Range, No. 13/211, June 17, 2013</font></a></p> <p><a href=""http://www.imf.org/external/np/sec/pn/2012/pn12125.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">IMF Executive Board Reviews Progress in Members' Provision of Data to the Fund for Surveillance Purposes, No. 12/125, November 14, 2012</font></a></p> <p><a href=""http://www.imf.org/external/np/sec/pn/2011/pn1161.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">IMF Executive Board Discusses Monitoring Financial Interconnectedness, Including the Data Template for Global Systemically Important Financial Institutions, No. 11/61, May 25, 2011</font></a></p> <p><a href=""http://www.imf.org/external/np/sec/pn/2010/pn10149.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">IMF Executive Board Completes the 2010 Review of SDR Valuation, No. 10/149, November 17, 2010</font></a></p> <p><a href=""http://www.imf.org/external/np/sec/pn/2008/pn0860.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">IMF Executive Board Reviews Progress in Members' Provision of Data to the Fund for Surveillance Purposes, No. 08/60, May 27, 2008</font></a></p> <p><a href=""http://www.imf.org/external/np/sec/pr/2005/pr05284.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">IMF Launches Quarterly Publication of Data on the Currency Composition of Official Foreign Exchange Reserves , No. 05/284, December 21, 2005</font></a></p>",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Latest Update Date","06/30/2023",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Methodology","The definition of foreign exchange reserves and the classification of countries in COFER (as advanced economies or emerging and developing economies) follow those currently used in the IMF's International Financial Statistics (IFS).",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Related Documents - URLs","<STYLE><!--A{text-decoration:none}--></STYLE><p><a href=""https://www.imf.org/~/media/af651c1d464a4e21aa94a971a6214818.ashx "" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">2015 The IMF has conducted an <b>ad-hoc survey</b> of member countries on their holdings of currencies in Official Foreign Currency Assets</font></a></p><p><a href=""http://www.imf.org/external/np/speeches/2008/072208.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">Perspectives on the Global Economic Landscape and the Role of US Dollars, addressed by John Lipsky, International Monetary Fund At the Brookings Institution, Washington, DC, July 22, 2008</font></a></p> <p><a href=""http://www.imf.org/external/np/tr/2008/tr080131.htm"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">Transcript of a Joint Seminar by the IMF and the Brookings Institution on “Global Downturn?  The World Economy in 2008, Washington, D.C., Thursday, January 31, 2008</font></a></p>",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Related Links - URLs","<p><a href=""http://dsbb.imf.org/"" target = ""_blank"" STYLE=""TEXT-DECORATION: NONE""><font color=""#787878"">Dissemination Standards Bulletin Board (DSBB) </font></a></p>",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Sectoral Coverage","International Reserves",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Tag","Home Page",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Temporal Coverage","Annual data for 1995-1998. Quarterly data from 1999 onward.",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Timeliness","COFER data are updated at quarterly frequency with a quarter lag.",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Topics","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","","","Update Frequency","Quarterly",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARAUD, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Code","RAXGFXARAUD_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Concept","Claims in Australian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator CTS Code","RAXGFXARAUD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Display Name","Claims in Australian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in Australian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Name","Allocated Reserves, Claims in Australian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator SDMX Code","RAXGFXARAUD_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator SDMX Name","Allocated Reserves, Claims in Australian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Short Name","Claims in Australian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Australian dollars, US Dollars","RAXGFXARAUD_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARCAD, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Code","RAXGFXARCAD_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Concept","Claims in Canadian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator CTS Code","RAXGFXARCAD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Display Name","Claims in Canadian dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in Canadian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Name","Allocated Reserves, Claims in Canadian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator SDMX Code","RAXGFXARCAD_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator SDMX Name","Allocated Reserves, Claims in Canadian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Short Name","Claims in Canadian dollars, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Canadian dollars, US Dollars","RAXGFXARCAD_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXAREURO, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Code","RAXGFXARCNY_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Concept","Claims in Chinese renminbi",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator CTS Code","RAXGFXAREURO",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Display Name","Claims in Chinese renminbi",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in Chinese renminbi, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Key Indicator","Key Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Name","Allocated Reserves, Claims in Chinese renminbi, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator SDMX Code","RAXGFXARCNY_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator SDMX Name","Allocated Reserves, Claims in Chinese Renminbi, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Short Name","Claims in Chinese renminbi",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Chinese renminbi, US Dollars","RAXGFXARCNY_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARDEM, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Code","RAXGFXARDEM_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Concept","Claims in Deutsche mark",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator CTS Code","RAXGFXARDEM",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Display Name","Claims in Deutsche mark",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in Deutsche mark, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Name","Allocated Reserves, Claims in Deutsche mark, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator SDMX Code","RAXGFXARDEM_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator SDMX Name","Allocated Reserves, Claims in Deutsche mark, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Short Name","Claims in Deutsche mark, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Topic","External Sector",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in Deutsche mark, US Dollars","RAXGFXARDEM_USD","Indicator Unit","US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Alternate Publication Codes","E-Library Concept: RAXGFXARECU, Unit: L",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Code","RAXGFXARECU_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Concept","Claims in ECUs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator CTS Code","RAXGFXARECU",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Definition","",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Display Name","Claims in ECUs",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Full Name","International Liquidity, Total Reserves excluding Gold, Foreign Exchange, Allocated Reserves, Claims in ECUs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Key Indicator","Other Indicator",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator Name","Allocated Reserves, Claims in ECUs, US Dollars",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator SDMX Code","RAXGFXARECU_USD",""
"Currency Composition of Official Foreign Exchange Reserves (COFER)","COFER","","","Allocated Reserves, Claims in ECUs, US Dollars","RAXGFXARECU_USD","Indicator SDMX Name","Allocated Reserves, Claims in ECUs, US Dollars",""
