NSA Employees,Industry ID,Industry,Month of Year ID,Month of Year,Date,NSA Employees Growth
7800400,"60540000","Professional, Scientific, and Technical Services","2008-01","January, 2008","2008-01-01",3.507119066891363
7873900,"60540000","Professional, Scientific, and Technical Services","2008-02","February, 2008","2008-02-01",3.3700047261460906
7863900,"60540000","Professional, Scientific, and Technical Services","2008-03","March, 2008","2008-03-01",3.1682934508816123
7887700,"60540000","Professional, Scientific, and Technical Services","2008-04","April, 2008","2008-04-01",3.096408218748366
7770800,"60540000","Professional, Scientific, and Technical Services","2008-05","May, 2008","2008-05-01",2.8196408960398003
7811900,"60540000","Professional, Scientific, and Technical Services","2008-06","June, 2008","2008-06-01",2.2714180980310013
7811700,"60540000","Professional, Scientific, and Technical Services","2008-07","July, 2008","2008-07-01",2.2125978070290215
7806200,"60540000","Professional, Scientific, and Technical Services","2008-08","August, 2008","2008-08-01",1.8275263823847852
7738100,"60540000","Professional, Scientific, and Technical Services","2008-09","September, 2008","2008-09-01",1.7595307917888565
7775300,"60540000","Professional, Scientific, and Technical Services","2008-10","October, 2008","2008-10-01",1.0619215971716751
7773200,"60540000","Professional, Scientific, and Technical Services","2008-11","November, 2008","2008-11-01",0.49385908209437623
7826400,"60540000","Professional, Scientific, and Technical Services","2008-12","December, 2008","2008-12-01",-0.21419828641370867
7702500,"60540000","Professional, Scientific, and Technical Services","2009-01","January, 2009","2009-01-01",-1.2550638428798524
7700000,"60540000","Professional, Scientific, and Technical Services","2009-02","February, 2009","2009-02-01",-2.208562465868248
7628900,"60540000","Professional, Scientific, and Technical Services","2009-03","March, 2009","2009-03-01",-2.9883391192665214
7576100,"60540000","Professional, Scientific, and Technical Services","2009-04","April, 2009","2009-04-01",-3.9504545051155597
7407200,"60540000","Professional, Scientific, and Technical Services","2009-05","May, 2009","2009-05-01",-4.679054923559994
7412700,"60540000","Professional, Scientific, and Technical Services","2009-06","June, 2009","2009-06-01",-5.110152459708905
7374200,"60540000","Professional, Scientific, and Technical Services","2009-07","July, 2009","2009-07-01",-5.60057349872627
7345400,"60540000","Professional, Scientific, and Technical Services","2009-08","August, 2009","2009-08-01",-5.903000179344624
7283400,"60540000","Professional, Scientific, and Technical Services","2009-09","September, 2009","2009-09-01",-5.876119460849562
7348600,"60540000","Professional, Scientific, and Technical Services","2009-10","October, 2009","2009-10-01",-5.4878911424639565
7397700,"60540000","Professional, Scientific, and Technical Services","2009-11","November, 2009","2009-11-01",-4.830700355066124
7440800,"60540000","Professional, Scientific, and Technical Services","2009-12","December, 2009","2009-12-01",-4.926914034549729
7393300,"60540000","Professional, Scientific, and Technical Services","2010-01","January, 2010","2010-01-01",-4.014281077572217
7443800,"60540000","Professional, Scientific, and Technical Services","2010-02","February, 2010","2010-02-01",-3.327272727272727
7459200,"60540000","Professional, Scientific, and Technical Services","2010-03","March, 2010","2010-03-01",-2.224436026163667
7501600,"60540000","Professional, Scientific, and Technical Services","2010-04","April, 2010","2010-04-01",-0.9833555523290347
7379000,"60540000","Professional, Scientific, and Technical Services","2010-05","May, 2010","2010-05-01",-0.3807106598984772
7427800,"60540000","Professional, Scientific, and Technical Services","2010-06","June, 2010","2010-06-01",0.20370445316821134
7449900,"60540000","Professional, Scientific, and Technical Services","2010-07","July, 2010","2010-07-01",1.0265520327628759
7450800,"60540000","Professional, Scientific, and Technical Services","2010-08","August, 2010","2010-08-01",1.4349116453835054
7400500,"60540000","Professional, Scientific, and Technical Services","2010-09","September, 2010","2010-09-01",1.6077656039761652
7494400,"60540000","Professional, Scientific, and Technical Services","2010-10","October, 2010","2010-10-01",1.9840513839370764
7524100,"60540000","Professional, Scientific, and Technical Services","2010-11","November, 2010","2010-11-01",1.708639171634427
7597200,"60540000","Professional, Scientific, and Technical Services","2010-12","December, 2010","2010-12-01",2.101924524244705
7567800,"60540000","Professional, Scientific, and Technical Services","2011-01","January, 2011","2011-01-01",2.3602450867677494
7638300,"60540000","Professional, Scientific, and Technical Services","2011-02","February, 2011","2011-02-01",2.6129127596120263
7648600,"60540000","Professional, Scientific, and Technical Services","2011-03","March, 2011","2011-03-01",2.5391462891462893
7696700,"60540000","Professional, Scientific, and Technical Services","2011-04","April, 2011","2011-04-01",2.6007785005865416
7570300,"60540000","Professional, Scientific, and Technical Services","2011-05","May, 2011","2011-05-01",2.5924922076162082
7607500,"60540000","Professional, Scientific, and Technical Services","2011-06","June, 2011","2011-06-01",2.4192896954683754
7656300,"60540000","Professional, Scientific, and Technical Services","2011-07","July, 2011","2011-07-01",2.770506986670962
