item,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,24494282,495753,125219,1254846,1318147,2986154,X,X,X,2897418,0,799564,X,X,68795,15898,2110,841790,725415,94860,45023,930810,12996,2535211,773877,29025,39591,359844,122,1399442,406541,5068,116584,X,X,5322,X,X,22884,39729,4135,86957,X,X,X,X,1235599,54712,4399803,7908,88838,268292
T09,429630537,4329546,X,11169103,4587956,52228035,4286196,5193413,X,1695175,37841294,8320361,4265799,2904133,15289031,10388976,4235827,4269472,5162018,4748279,2171258,6638205,8716276,12204862,7287411,4770468,4553244,X,2635775,5506268,X,14178031,3291197,18034495,11039816,1074703,15640329,3546080,X,14760853,1499910,4876547,1524337,12887107,48866003,4280780,545564,7097323,21477182,1655483,6978336,978080
T10,8199278,271442,42032,88925,75051,432629,55555,71123,30911,6919,359022,228617,53981,10557,320000,53718,22218,163962,186487,79331,18464,36930,97643,219449,105074,42938,47193,48267,34574,51794,0,175890,21719,307900,561333,9800,120832,171393,19711,458047,23324,222505,21322,292498,1655325,18394,12064,274380,481287,20775,73769,2204
T11,11123029,0,6805,8198,85468,X,153595,260239,X,3963,178210,X,X,X,1258697,722972,373500,291,136,760972,68073,1194074,301510,285629,201832,169119,390854,123282,7613,1689128,24323,386996,69276,1710,6,23928,334176,30878,12427,1758352,20385,53981,12323,46079,17720,X,X,37153,4432,39214,108,5402
T12,28759802,513226,68590,732224,345234,3319048,338355,191176,146051,148438,1571412,482092,201859,137183,491053,257529,152546,466396,179015,1080293,136120,791320,587997,398371,718431,383652,465920,153056,78815,518019,136733,747723,235866,2409677,1003553,75216,675158,349723,85403,913085,159612,289114,97571,1223183,3121923,189609,68799,683923,823878,135847,247174,33611
T13,54678184,949982,45078,792145,606201,8638712,665944,373779,134474,28290,3111445,1602054,81845,412051,2527365,1658104,701213,466589,728190,650966,246951,1113264,722788,1416157,900563,449230,803261,292452,384474,377553,180010,414269,266949,1511214,2193373,179821,2710980,600189,600717,3180204,138906,944249,201021,1274055,3783904,581850,121774,1596148,1598550,419593,1179935,119353
T14,176642,5221,X,186,1858,18244,373,5708,62,X,12311,X,X,1447,7668,1696,3947,X,47733,5727,1911,1124,1080,2924,1906,184,X,169,175,3,497,X,1184,13899,X,1579,3987,1105,3156,8690,515,X,113,X,5059,X,X,1543,1285,2937,0,9436
T15,12555449,702352,4291,22149,X,741713,X,246437,43826,176078,1799972,0,122068,1619,1257528,218703,71453,349,77310,11299,21784,141835,X,42928,87276,1786,X,39067,59836,49872,29079,949949,35695,776052,295,35122,1017791,55280,22101,1026909,89400,29128,4024,6506,748572,61486,9705,491211,725502,111101,384026,4984
T16,18287214,156313,48924,287427,223936,1853535,352438,303664,115332,22465,1048913,238574,91658,45499,841366,387364,190402,119585,374873,258537,141941,479132,390686,805030,610055,136113,96111,74249,52147,179824,182626,566185,101968,929109,295188,24677,885881,441544,459571,1223160,144900,27914,54385,228231,1210716,109658,75991,278758,353075,165066,580949,21569
T19,59374495,612505,54924,442820,290427,4794602,1638553,1553162,173896,96144,1092870,533368,830759,82458,3872700,1392536,55993,53019,962714,145703,167723,1743953,949903,1642635,2179607,290616,105729,121270,31743,469751,390142,2321841,163272,7239233,1235035,161470,2625028,151997,1458418,2433309,278542,545330,151959,627343,7508290,311222,557280,2470888,1274584,650969,433152,3108
T20,852792,4102,1397,11769,7146,88240,6263,9924,2566,9522,10677,4717,X,2279,20395,32131,22017,3951,8027,0,7465,1174,4313,18643,3336,1425,6126,5571,1344,X,5613,4515,0,83800,31434,410,49013,158,5637,30134,1412,13717,1537,1842,104801,0,491,16474,203169,1763,2352,X
T21,624785,X,X,6,1058,20273,978,161,434,603,3460,0,X,179,28868,8140,28780,7704,300,X,901,1964,13153,X,8213,18549,22,4628,554,56090,328,54590,2175,0,117,2533,39699,193315,1448,37058,265,6344,5473,308,13899,X,21,37206,20573,3215,68,1132
T22,10156565,207653,X,20463,42395,91871,24014,36591,2210216,41975,278526,55673,2415,6128,342853,11747,79982,14870,121266,389642,13011,140820,28332,34998,16259,220789,0,7694,14009,92114,84348,719362,50255,219,1012322,X,234925,62716,1262333,2984,8873,163072,8059,1535207,276856,423,3292,78259,54390,1079,29726,21559
T23,1907931,26159,38378,48015,30397,115196,119501,5333,4766,89,19374,28735,878,56329,43522,21961,35356,34658,31953,34505,19167,18175,6330,66902,103313,3186,40878,77246,19498,13137,12726,14272,29415,55100,41449,18191,45413,26106,59255,83635,2176,23734,37940,43126,117390,33955,8061,26942,43606,15301,64890,42311
T24,30132376,239930,29432,319215,189242,5141552,436209,249106,59629,31553,1510808,413341,219306,229108,2268984,356767,770930,243464,224860,80086,121049,503958,452807,1498851,926172,179589,317073,195703,118247,223192,116455,662194,223076,1419966,987146,116140,508070,863147,895677,1250825,32582,295330,93882,398576,2262141,254894,74974,471211,834226,5059,715639,101003
T25,3152531,35999,X,37560,19158,384578,47673,59890,5902,5033,182189,123174,369,10526,191480,270819,17039,29748,28500,11775,13598,33538,84265,66444,51328,17527,15922,9732,11357,26613,15201,58724,13550,176100,118066,3905,92224,26434,58248,119658,8554,4723,6145,35625,180069,30838,13796,78868,128448,146854,39527,5238
T27,1165394,12792,8103,30,8940,569181,16545,578,700,X,24180,X,15153,64442,23302,X,11841,6522,X,7406,X,X,X,32696,7297,6579,18442,5,X,X,20912,20961,1856,11458,18876,2,2801,5,13899,78104,2809,14713,X,6099,45765,X,X,716,23093,391,68200,X
T28,16459253,70335,53084,198323,147819,4500750,67582,33872,140463,82641,202755,85652,57933,97555,604295,62918,162295,92717,134556,109448,128544,307187,418163,292138,273841,98567,182212,183629,38055,244478,250192,651094,52214,145200,397873,57603,957708,909,259691,1291254,86715,140838,151748,486472,1209890,60064,32384,313906,426738,13630,355818,45505
T29,2000913,1,8983,2320,1133,62423,30,4664,12364,52964,13199,32200,14929,4824,22465,106900,6872,2894,2244,5530,13522,1849,291743,229565,84574,63557,94564,15632,1206,9051,39929,2018,0,1679,50596,0,135813,848,8785,21259,7017,16511,32687,10135,185892,7421,10103,67397,175726,4516,60379,0
T40,557591961,6089061,X,7529879,3717880,146190014,11685999,9861264,2405043,3116991,X,18286845,3759856,2594552,22697437,11749037,4974623,4836130,6180726,4478708,2590903,12228623,24399902,12879815,15130683,2537787,8942661,2387008,3239491,X,153620,20630297,1301085,70196866,17672005,472925,11246994,4157808,11772886,17381999,1939003,6854835,X,9480,X,6812367,1268299,19732749,X,2502828,8994997,X
T41,133399830,1463618,413175,1163469,826703,46005502,1508480,3487484,498885,991323,3780770,2509683,314873,1040953,9629688,1539543,860164,868262,1168370,1039929,415818,2141942,4601008,1794301,4729850,710719,751969,291198,715153,X,1213000,8660149,310081,7780845,1631119,229201,721,811693,1488974,5007127,290800,1204176,61818,2999297,X,935481,240402,1978697,X,366316,2927101,X
T50,6793904,X,X,0,0,64,X,199409,4,48202,X,0,57405,X,641815,25,91826,X,82953,0,34183,265493,868444,6,212421,X,49,X,X,X,0,599428,X,1417294,213,X,58,1,350592,1502404,35700,X,X,640,X,X,13997,29,371246,X,3,0
T51,20630258,78057,X,20095,87752,X,X,328938,324273,689983,6166778,0,188418,X,121871,X,38021,X,9879,X,61859,357373,542995,542386,393946,X,15496,X,27151,191497,235385,948373,X,3657497,162055,X,X,37756,3859,1042331,20495,237831,195,522660,X,X,113493,853896,2468426,17856,121382,X
T53,22811895,60853,1479380,37355,84054,128600,306810,X,X,X,28694,X,X,5828,X,1483,X,70203,109019,491032,X,X,X,46951,104616,51364,0,227029,4643,218715,X,X,2250072,X,1724,2858236,61026,1529945,16484,X,X,X,8035,826,10945517,97393,X,3831,41103,768794,1793,770487
T99,6412168,0,X,170238,70174,2517502,X,1562,1094,62910,0,189166,0,2639,0,0,0,X,0,X,0,288536,0,97,X,0,72,6135,0,755672,0,0,64228,1814404,0,0,0,129001,3538,28691,0,0,820,14870,X,413,9401,108397,141504,7719,15652,7733
